kaptCode,kaptName,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,bjdCode,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode
A10021295,경희궁의아침4단지,서울특별시 종로구 내수동 73- 경희궁의아침4단지,분양,개별난방,27557.0,1,120.0,쌍용건설,군인공제회,027324975, ,주상복합,서울특별시 종로구 새문안로3길 23,위탁관리,계단식,20040517,027324976,120.0,27557.1,0.0,0.0,75.0,45.0,16020.9,1111011800,1.0,16.0,1.0,8.0,
A10021652,경희궁파크팰리스,서울특별시 종로구 내수동 95- 경희궁파크팰리스,분양,개별난방,41113.0,1,142.0,삼성물산,확인불가,027375271, ,주상복합,서울특별시 종로구 사직로8길 20,위탁관리,계단식,20031119,027375272,142.0,34454.14,0.0,0.0,57.0,85.0,18805.07,1111011800,1.0,16.0,4.0,0.0,
A11007001,경희궁의아침3단지,서울특별시 종로구 내수동 72 경희궁의아침3단지,분양,개별난방,38391.6,1,150.0,쌍용건설,군인공제조합,027224433, ,주상복합,서울특별시 종로구 사직로8길 34,위탁관리,계단식,20040517,027340253,150.0,38391.6,0.0,0.0,30.0,120.0,22444.8,1111011800,16.0,16.0,3.0,0.0,03174
A11087101,경희궁의아침2단지,서울특별시 종로구 내수동 71 경희궁의아침2단지,분양,개별난방,47470.58,1,90.0,쌍용건설,쌍용건설,027340258, ,주상복합,서울특별시 종로구 사직로8길 24,위탁관리(총액관리제),혼합식,20040515,027340252,90.0,15742.81,0.0,0.0,30.0,60.0,13185,1111011800,16.0,16.0,5.0,0.0,03174
A11005401,광화문스페이스본 아파트,서울특별시 종로구 신문로2가 1-434 광화문스페이스본 아파트,분양,개별난방,163862.1,6,744.0,풍림산업(주),사직1구역 도심 재개발조합,027373388,www.spacebon.kr,아파트,서울특별시 종로구 사직로8길 4,위탁관리,복도식,20080711,027373399,744.0,94981.45,0.0,28.0,335.0,381.0,94981.45,1111012100,14.0,14.0,4.0,21.0,03168
A11014001,로얄팰리스스위트,서울특별시 종로구 수송동 85 로얄팰리스스위트,분양,중앙난방,51195.18,1,99.0, , ,0267308058,www.somersetpalace.co.kr/,아파트,서울특별시 종로구 율곡로2길 7,기타,복도식,,0267308089,28.0,2800.0,75.0,17.0,7.0,0.0,1191.14,1111012400,18.0,18.0,0.0,8.0,03143
A11034001,현대뜨레비앙,서울특별시 종로구 익선동 55 현대뜨레비앙,분양,개별난방,22846.92,1,291.0,현대건설,팬퍼시픽,027430416,hd7430416@gmail.com,주상복합,서울특별시 종로구 돈화문로11가길 59,위탁관리,복도식,20031129,027430417,291.0,22846.92,291.0,0.0,0.0,0.0,13245.16,1111013300,9.0,9.0,3.0,2.0,03132
A10020992,낙원아파트,서울특별시 종로구 낙원동 288- 낙원아파트,분양,개별난방,15416.0,1,149.0,대일건설,대일건설,027420653, ,주상복합,서울특별시 종로구 삼일대로 428,위탁관리,복도식,19680915,027664602,149.0,12664.71,0.0,93.0,53.0,3.0,12664.7,1111013700,1.0,15.0,0.0,0.0,
A11041001,효성주얼리시티아파트,서울특별시 종로구 인의동 48-2 효성주얼리시티아파트,분양,개별난방,89808.14,2,298.0,(주)효성건설,태승플레이,0262603500, ,주상복합,서울특별시 종로구 종로 183,위탁관리,계단식,20061027,0262603502,298.0,36383.08,0.0,140.0,144.0,14.0,28511.84,1111015700,19.0,19.0,5.0,8.0,03130
A10027162,포레스트힐시티,서울특별시 종로구 효제동 65-2 포레스트힐시티,분양,개별난방,6996.68,1,152.0,신홍선건설,마르코통상,027437430, ,주상복합,서울특별시 종로구 대학로 33,위탁관리,기타,20170120,027437431,152.0,3777.7683,152.0,0.0,0.0,0.0,2705.2634,1111016200,14.0,14.0,3.0,2.0,03128
A10023586,힐스테이트 창경궁,서울특별시 종로구 충신동 60- 힐스테이트 창경궁,혼합,개별난방,36373.28,1,0.0,현대건설,에스와이상영개발,027657736,https://hscgg.aptner.com/,주상복합,서울특별시 종로구 율곡로 236,위탁관리,계단식,20220929,027657737,181.0,14427.91,0.0,0.0,0.0,0.0,14427.91,1111016700,15.0,15.0,5.0,4.0,03123
A10023741,명륜아남2차아파트,서울특별시 종로구 명륜2가 236 명륜아남2차아파트,분양,개별난방,8041.1,1,65.0,아남건설(주),다원건축(주),027645743, ,아파트,서울특별시 종로구 혜화로3길 33,위탁관리,혼합식,19960920,027645743,65.0,8004.1,26.0,24.0,15.0,0.0,5297.76,1111017100,9.0,9.0,1.0,3.0,
A11052201,명륜아남1차,서울특별시 종로구 명륜2가 4 명륜아남1차,분양,개별난방,55871.63,3,436.0,아남건설(주),총무처주택조합외 11개 조합,027479717,anam1.com,아파트,서울특별시 종로구 창경궁로 265,위탁관리,계단식,19951222,027479718,436.0,37016.4,0.0,436.0,0.0,0.0,37008.6,1111017100,20.0,20.0,3.0,12.0,03075
A11076701,주상복합아남아파트,서울특별시 종로구 명륜2가 237 주상복합아남아파트,분양,개별난방,18527.0,1,136.0,아남건설,아남건설,027621006, ,주상복합,서울특별시 종로구 혜화로3길 5,위탁관리,복도식,19990130,027651006,136.0,15894.85,90.0,20.0,19.0,7.0,8819.68,1111017100,8.0,8.0,2.0,2.0,
A10021626,창신이수아파트,서울특별시 종로구 창신동 23-816 창신이수아파트,분양,개별난방,21891.0,1,113.0,이수건설,더블루피엠씨,0236963070, ,아파트,서울특별시 종로구 지봉로 87,위탁관리,계단식,20030808, ,113.0,10441.94,0.0,81.0,32.0,0.0,10448.34,1111017400,1.0,19.0,2.0,4.0,
A11054101,창신두산,서울특별시 종로구 창신동 232 창신두산,분양,개별난방,65446.3,3,529.0,두산건설(주),두산건설,027637006, ,아파트,서울특별시 종로구 지봉로5길 7,위탁관리,혼합식,19990430,0262617006,529.0,51641.68,289.0,239.0,1.0,0.0,37701.55,1111017400,23.0,23.0,2.0,11.0,03104
A11054301,창신쌍용1단지,서울특별시 종로구 창신동 702 창신쌍용1단지,분양,개별난방,59332.5,5,585.0,쌍용건설,창신 제1-2 재개발조합,027471554, ,아파트,서울특별시 종로구 동망산길 19,자치관리,혼합식,19921125,027471553,585.0,58720.11,201.0,306.0,78.0,0.0,43751.28,1111017400,14.0,14.0,0.0,10.0,03093
A11077101,창신쌍용아파트2단지,서울특별시 종로구 창신동 703 창신쌍용아파트2단지,분양,개별난방,97540.51,7,919.0,쌍용건설,창신제2지구 재개발조합,027666141, ,아파트,서울특별시 종로구 낙산길 198,위탁관리,혼합식,19931012,0236723555,924.0,94112.04,156.0,567.0,196.0,0.0,71145.81,1111017400,15.0,15.0,0.0,16.0,03092
A10024713,숭인상가아파트,서울특별시 종로구 숭인동 204-11 숭인상가아파트,분양,개별난방,11306.57,1,109.0,현대건설,현대건설,0222525630, ,주상복합,서울특별시 종로구 청계천로 391,위탁관리,복도식,19791022, ,109.0,10082.688,0.0,102.0,7.0,0.0,8630.63,1111017500,8.0,8.0,1.0,2.0,03117
A11055002,종로청계힐스테이트,서울특별시 종로구 숭인동 766 종로청계힐스테이트,분양,개별난방,45692.0,6,288.0,현대건설,숭인5구역주택개발조합,029290540, ,아파트,서울특별시 종로구 숭인동길 21,위탁관리,계단식,20090320,029290541,288.0,29725.568,128.0,116.0,44.0,0.0,22574.0708,1111017500,20.0,20.0,2.0,10.0,03112
A11087601,롯데캐슬천지인,서울특별시 종로구 숭인동 76 롯데캐슬천지인,분양,개별난방,38416.25,2,220.0,롯데건설,롯데건설,0236706111, ,주상복합,서울특별시 종로구 종로 347,위탁관리,기타,20040909,0236706114,220.0,27273.4,0.0,110.0,110.0,0.0,21679.35,1111017500,30.0,30.0,4.0,0.0,03113
A11087602,종로센트레빌,서울특별시 종로구 숭인동 2-1 종로센트레빌,분양,개별난방,63835.92,6,416.0,동부건설,숭인제4구역재정비사업조합,0236721213, ,아파트,서울특별시 종로구 동망산길 47,위탁관리,계단식,20081121,0236721244,416.0,41882.56,180.0,164.0,72.0,0.0,32968.72,1111017500,12.0,12.0,3.0,18.0,03107
A10027105,경희궁자이3단지,서울특별시 종로구 평동 233 경희궁자이3단지,분양,개별난방,98493.95,8,589.0,자이건설(주),돈의문1구역 도시환경 사업조합,027372101,ghgxi3.aptner.com/v2,주상복합,서울특별시 종로구 경교장길 35,위탁관리,계단식,20170224,027372102,589.0,60080.2,189.0,385.0,15.0,0.0,45327.031,1111017700,20.0,20.0,4.0,25.0,03180
A10027118,경희궁자이2단지 아파트,서울특별시 종로구 홍파동 199 경희궁자이2단지 아파트,분양,개별난방,194110.78,14,1148.0,GS건설,돈의문1구역 도시환경 사업조합,027232107,admin.aptner.com,주상복합,서울특별시 종로구 송월길 99,위탁관리,계단식,20170224,027232109,1148.0,130419.016,151.0,782.0,194.0,21.0,98892.223,1111017900,21.0,21.0,2.0,40.0,03165
A10026940,경희궁자이4단지주상복합,서울특별시 종로구 교북동 126 경희궁자이4단지주상복합,분양,개별난방,23557.0,3,182.0,지에스건설,돈의문지역주택조합,0232100985,ghgxi4.xisnd.co.kr/,주상복합,서울특별시 종로구 송월길 155,위탁관리,계단식,20170629,0232100986,182.0,10915.78,182.0,0.0,0.0,0.0,7375.6155,1111018000,19.0,19.0,5.0,4.0,03165
A10026946,경희궁자이1단지(임대아파트),서울특별시 종로구 행촌동 211 경희궁자이1단지(임대아파트),임대,개별난방,48330.258,5,496.0,GS자이,서울주택도시공사(구 SH공사),027395383, ,아파트,서울특별시 종로구 송월길 130,위탁관리,복도식,20170629,027395385,496.0,48302.676,496.0,0.0,0.0,0.0,21034.1056,1111018100,19.0,19.0,2.0,9.0,03166
A10021355,구기동 청구빌라,서울특별시 종로구 구기동 266- 구기동 청구빌라,분양,개별난방,18978.0,9,114.0,(주)청구,(주)청구,0234177700,(주)청구,연립주택,서울특별시 종로구 홍지문길 69,자치관리,계단식,19971231, ,114.0,13652.1,0.0,69.0,45.0,0.0,11795.73,1111018200,3.0,3.0,1.0,0.0,
A10024669,동익빌라,서울특별시 종로구 구기동 40 동익빌라,분양,,17918.0,9,123.0,(주)동익건설,(주)동익건설,0232171209, ,연립주택,서울특별시 종로구 홍지문길 64,위탁관리,계단식,19961107,023946159,123.0,15873.915,0.0,78.0,0.0,45.0,13112.37,1111018200,1.0,3.0,0.0,0.0,03013
A10021278,평창동 롯데캐슬로잔,서울특별시 종로구 평창동 108- 평창동 롯데캐슬로잔,분양,개별난방,0.0,1,112.0,롯데건설,한국투자신탁,0203940114, ,아파트,서울특별시 종로구 평창문화로 156,위탁관리,계단식,20090408,023780819,112.0,44648.887,0.0,0.0,0.0,112.0,24182.515,1111018300,1.0,11.0,0.0,0.0,
